Handle,Title,Body (HTML),Vendor,Product category,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
die-cut-stickers-1x1-5x20,Custom Die Cut Stickers,,Stickerbull,,holder-die-cut-stickers,custom-app-config,true,Size,1x1,,,,,,,,100,deny,manual,0.90,,true,true,,https://cdn.shopify.com/s/files/1/0637/7396/6592/files/DieCut_Sticker.png?v=1668475183,1,die cut sticker,,,,,,,,,,,,,,,,,,lb,,,active
die-cut-stickers-1x1-5x20,,,,,,,,,1x2,,,,,,,,100,deny,manual,0.95,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x3,,,,,,,,100,deny,manual,1.01,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x4,,,,,,,,100,deny,manual,1.06,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x5,,,,,,,,100,deny,manual,1.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x6,,,,,,,,100,deny,manual,1.15,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x7,,,,,,,,100,deny,manual,1.19,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x8,,,,,,,,100,deny,manual,1.24,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x9,,,,,,,,100,deny,manual,1.28,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x10,,,,,,,,100,deny,manual,1.31,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x11,,,,,,,,100,deny,manual,1.35,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x12,,,,,,,,100,deny,manual,1.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x13,,,,,,,,100,deny,manual,1.44,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x14,,,,,,,,100,deny,manual,1.48,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x15,,,,,,,,100,deny,manual,1.51,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x16,,,,,,,,100,deny,manual,1.55,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x17,,,,,,,,100,deny,manual,1.58,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x18,,,,,,,,100,deny,manual,1.62,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x19,,,,,,,,100,deny,manual,1.66,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,1x20,,,,,,,,100,deny,manual,1.69,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x1,,,,,,,,100,deny,manual,0.95,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x2,,,,,,,,100,deny,manual,1.06,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x3,,,,,,,,100,deny,manual,1.15,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x4,,,,,,,,100,deny,manual,1.24,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x5,,,,,,,,100,deny,manual,1.31,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x6,,,,,,,,100,deny,manual,1.40,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
die-cut-stickers-1x1-5x20,,,,,,,,,2x7,,,,,,,,100,deny,manual,1.48,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
